epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,33464,1.05866,1.41055,1.57051,0.64207,0.46757,0.50431,0.33759,0.96765,1.32011,1.30347,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,34549.7,1.0618,1.41635,1.57152,0.64501,0.46659,0.50476,0.33854,0.96484,1.31667,1.30138,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,35638.1,1.05694,1.40786,1.56576,0.64886,0.46642,0.50525,0.33938,0.96131,1.31266,1.29856,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,36725,1.06155,1.40824,1.57222,0.64808,0.46767,0.50665,0.34,0.95917,1.30908,1.29719,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,37812.4,1.05413,1.40592,1.5634,0.64611,0.46836,0.5067,0.3406,0.95702,1.30623,1.2959,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,38930.4,1.05711,1.39776,1.56924,0.6507,0.46738,0.50713,0.34156,0.9546,1.30187,1.29317,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,40099.1,1.04893,1.38677,1.56276,0.65042,0.46846,0.50765,0.34195,0.95217,1.29774,1.29127,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,41248.5,1.05115,1.38988,1.55813,0.65471,0.46627,0.50823,0.34262,0.95105,1.29569,1.29039,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,42398.9,1.04761,1.38485,1.55849,0.65511,0.46669,0.50905,0.34328,0.95067,1.29251,1.29082,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,43494.4,1.04308,1.38065,1.5529,0.65725,0.46678,0.50931,0.34374,0.95021,1.28875,1.28988,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,44587.7,1.04874,1.37929,1.55997,0.65996,0.46777,0.51048,0.34426,0.94814,1.28558,1.28862,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,45682.2,1.04653,1.38503,1.5593,0.65754,0.46866,0.51092,0.34512,0.94734,1.2826,1.28857,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,46777.5,1.04478,1.38075,1.55212,0.65766,0.47023,0.51175,0.34604,0.94691,1.28088,1.28873,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,47869.6,1.04031,1.37475,1.55586,0.65787,0.47132,0.51255,0.34658,0.94559,1.27853,1.28849,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
